,zip,city,state,latitude,longitude,timezone,dst
215,970,Guaynabo,PR,18.359142,-66.1123,-4,0
216,971,Guaynabo,PR,18.329687,-66.11876,-4,0
217,975,San Juan,PR,18.410461,-66.06053,-4,0
218,976,Trujillo Alto,PR,18.346767,-66.00561,-4,0
219,977,Trujillo Alto,PR,18.337004,-65.9901,-4,0
220,978,St Just,PR,18.337004,-65.9901,-4,0
221,979,Carolina,PR,18.431885,-66.0127,-4,0
222,981,Carolina,PR,18.410461,-66.06053,-4,0
223,982,Carolina,PR,18.409346,-65.99313,-4,0
224,983,Carolina,PR,18.414408,-65.97582,-4,0
225,984,Carolina,PR,18.393354,-65.972496,-4,0
226,985,Carolina,PR,18.374895,-65.94691,-4,0
227,986,Carolina,PR,18.393354,-65.972496,-4,0
228,987,Carolina,PR,18.372229,-65.96275,-4,0
229,988,Carolina,PR,18.393354,-65.972496,-4,0
230,1001,Agawam,MA,42.07061,-72.62029,-5,1
231,1002,Amherst,MA,42.37765,-72.50323,-5,1
232,1003,Amherst,MA,42.36956,-72.63599,-5,1
233,1004,Amherst,MA,42.384495,-72.51318,-5,1
234,1005,Barre,MA,42.412094,-72.10443,-5,1
235,1007,Belchertown,MA,42.278423,-72.411,-5,1
236,1008,Blandford,MA,42.174313,-72.94828,-5,1
237,1009,Bondsville,MA,42.206093,-72.340485,-5,1
238,1010,Brimfield,MA,42.126038,-72.20552,-5,1
239,1011,Chester,MA,42.271442,-73.01958,-5,1
240,1012,Chesterfield,MA,42.390835,-72.84356,-5,1
241,1013,Chicopee,MA,42.16149,-72.60316,-5,1
242,1014,Chicopee,MA,42.17073,-72.60484,-5,1
243,1020,Chicopee,MA,42.17599,-72.57265,-5,1
244,1021,Chicopee,MA,42.17073,-72.60484,-5,1
245,1022,Chicopee,MA,42.196667,-72.55606,-5,1
246,1026,Cummington,MA,42.465042,-72.91813,-5,1
247,1027,Easthampton,MA,42.27279,-72.68677,-5,1
248,1028,East Longmeadow,MA,42.066795,-72.5102,-5,1
249,1029,East Otis,MA,42.175896,-73.04204,-5,1
250,1030,Feeding Hills,MA,42.070774,-72.67248,-5,1
251,1031,Gilbertville,MA,42.33071,-72.18833,-5,1
252,1032,Goshen,MA,42.45792,-72.81551,-5,1
253,1033,Granby,MA,42.254562,-72.51831,-5,1
254,1034,Granville,MA,42.086224,-72.94464,-5,1
255,1035,Hadley,MA,42.35549,-72.5733,-5,1
256,1036,Hampden,MA,42.064705,-72.41735,-5,1
257,1037,Hardwick,MA,42.374203,-72.19524,-5,1
258,1038,Hatfield,MA,42.375156,-72.60832,-5,1
259,1039,Haydenville,MA,42.381474,-72.69259,-5,1
260,1040,Holyoke,MA,42.201893,-72.6242,-5,1
261,1041,Holyoke,MA,42.17073,-72.60484,-5,1
262,1050,Huntington,MA,42.29021,-72.87942,-5,1
263,1053,Leeds,MA,42.353104,-72.70206,-5,1
264,1054,Leverett,MA,42.47984,-72.49879,-5,1
265,1056,Ludlow,MA,42.174892,-72.47068,-5,1
266,1057,Monson,MA,42.089268,-72.317,-5,1
267,1059,North Amherst,MA,42.36956,-72.63599,-5,1
268,1060,Northampton,MA,42.32454,-72.63561,-5,1
269,1061,Northampton,MA,42.36956,-72.63599,-5,1
270,1062,Florence,MA,42.32423,-72.67915,-5,1
271,1063,Northampton,MA,42.31794,-72.640236,-5,1
272,1066,North Hatfield,MA,42.406696,-72.6339,-5,1
273,1068,Oakham,MA,42.34977,-72.04413,-5,1
274,1069,Palmer,MA,42.1764,-72.32646,-5,1
275,1070,Plainfield,MA,42.515854,-72.91661,-5,1
276,1071,Russell,MA,42.16593,-72.85153,-5,1
277,1072,Shutesbury,MA,42.486027,-72.42208,-5,1
278,1073,Southampton,MA,42.223885,-72.72777,-5,1
279,1074,South Barre,MA,42.376,-72.14939,-5,1
280,1075,South Hadley,MA,42.23489,-72.58243,-5,1
281,1077,Southwick,MA,42.05283,-72.76966,-5,1
282,1079,Thorndike,MA,42.19289,-72.329575,-5,1
283,1080,Three Rivers,MA,42.180565,-72.36518,-5,1
284,1081,Wales,MA,42.058025,-72.22517,-5,1
285,1082,Ware,MA,42.27061,-72.26067,-5,1
286,1083,Warren,MA,42.20468,-72.20259,-5,1
287,1084,West Chesterfield,MA,42.379807,-72.89043,-5,1
288,1085,Westfield,MA,42.13364,-72.75029,-5,1
289,1086,Westfield,MA,42.173428,-72.84796,-5,1
290,1088,West Hatfield,MA,42.388832,-72.6321,-5,1
291,1089,West Springfield,MA,42.112793,-72.64066,-5,1
292,1090,West Springfield,MA,42.17073,-72.60484,-5,1
293,1092,West Warren,MA,42.210777,-72.23904,-5,1
294,1093,Whately,MA,42.442673,-72.65251,-5,1
295,1094,Wheelwright,MA,42.3582,-72.14085,-5,1
296,1095,Wilbraham,MA,42.12531,-72.44057,-5,1
297,1096,Williamsburg,MA,42.415237,-72.78271,-5,1
298,1097,Woronoco,MA,42.161743,-72.84591,-5,1
299,1098,Worthington,MA,42.399055,-72.93871,-5,1
300,1101,Springfield,MA,42.17073,-72.60484,-5,1
301,1102,Springfield,MA,42.17073,-72.60484,-5,1
302,1103,Springfield,MA,42.103294,-72.59112,-5,1
303,1104,Springfield,MA,42.130344,-72.57338,-5,1
304,1105,Springfield,MA,42.096645,-72.5798,-5,1
305,1106,Longmeadow,MA,42.050396,-72.5712,-5,1
306,1107,Springfield,MA,42.120193,-72.6061,-5,1
307,1108,Springfield,MA,42.084095,-72.55523,-5,1
308,1109,Springfield,MA,42.116276,-72.55031,-5,1
309,1111,Springfield,MA,42.17073,-72.60484,-5,1
310,1114,Springfield,MA,42.17073,-72.60484,-5,1
311,1115,Springfield,MA,42.102894,-72.59164,-5,1
312,1116,Longmeadow,MA,42.17073,-72.60484,-5,1
313,1118,Springfield,MA,42.093143,-72.5291,-5,1
314,1119,Springfield,MA,42.12844,-72.50932,-5,1
315,1128,Springfield,MA,42.095345,-72.48857,-5,1
316,1129,Springfield,MA,42.121033,-72.4896,-5,1
317,1133,Springfield,MA,42.17073,-72.60484,-5,1
318,1138,Springfield,MA,42.17073,-72.60484,-5,1
319,1139,Springfield,MA,42.17073,-72.60484,-5,1
320,1144,Springfield,MA,42.101795,-72.59151,-5,1
321,1151,Indian Orchard,MA,42.153927,-72.50531,-5,1
322,1152,Springfield,MA,42.17073,-72.60484,-5,1
323,1199,Springfield,MA,42.11994,-72.60498,-5,1
324,1201,Pittsfield,MA,42.45384,-73.254,-5,1
325,1202,Pittsfield,MA,42.3929,-73.228485,-5,1
326,1203,Pittsfield,MA,42.3929,-73.228485,-5,1
327,1220,Adams,MA,42.619728,-73.11842,-5,1
328,1222,Ashley Falls,MA,42.057495,-73.32177,-5,1
329,1223,Becket,MA,42.31445,-73.09335,-5,1
330,1224,Berkshire,MA,42.3929,-73.228485,-5,1
331,1225,Cheshire,MA,42.55173,-73.1653,-5,1
332,1226,Dalton,MA,42.476574,-73.11547,-5,1
333,1227,Dalton,MA,42.516144,-73.09285,-5,1
334,1229,Glendale,MA,42.279293,-73.343544,-5,1
335,1230,Great Barrington,MA,42.189716,-73.35249,-5,1
336,1231,Sheffield,MA,42.153,-73.298134,-5,1
337,1235,Hinsdale,MA,42.433662,-73.09278,-5,1
338,1236,Housatonic,MA,42.266872,-73.36236,-5,1
339,1237,Lanesboro,MA,42.557346,-73.24364,-5,1
340,1238,Lee,MA,42.299263,-73.2327,-5,1
341,1240,Lenox,MA,42.36237,-73.27683,-5,1
342,1242,Lenox Dale,MA,42.336555,-73.24599,-5,1
343,1243,Middlefield,MA,42.356087,-73.010445,-5,1
344,1244,Mill River,MA,42.139103,-73.20312,-5,1
345,1245,Monterey,MA,42.18066,-73.20849,-5,1
346,1247,North Adams,MA,42.696064,-73.10145,-5,1
347,1252,North Egremont,MA,42.198647,-73.446236,-5,1
348,1253,Otis,MA,42.198402,-73.10205,-5,1
349,1254,Richmond,MA,42.37471,-73.36336,-5,1
350,1255,Sandisfield,MA,42.088974,-73.12444,-5,1
351,1256,Savoy,MA,42.592506,-73.01123,-5,1
352,1257,Sheffield,MA,42.102695,-73.36591,-5,1
353,1258,South Egremont,MA,42.103123,-73.45734,-5,1
354,1259,Southfield,MA,42.0645,-73.24674,-5,1
355,1260,South Lee,MA,42.286587,-73.31327,-5,1
356,1262,Stockbridge,MA,42.283215,-73.31423,-5,1
357,1263,Stockbridge,MA,42.3929,-73.228485,-5,1
358,1264,Tyringham,MA,42.224903,-73.20394,-5,1
359,1266,West Stockbridge,MA,42.328533,-73.36407,-5,1
360,1267,Williamstown,MA,42.68996,-73.22355,-5,1
361,1270,Windsor,MA,42.443726,-73.11613,-5,1
362,1301,Greenfield,MA,42.605522,-72.60098,-5,1
363,1302,Greenfield,MA,42.52218,-72.62416,-5,1
364,1330,Ashfield,MA,42.52113,-72.81116,-5,1
365,1331,Athol,MA,42.57993,-72.20836,-5,1
366,1337,Bernardston,MA,42.678024,-72.55569,-5,1
367,1338,Buckland,MA,42.569496,-72.802,-5,1
368,1339,Charlemont,MA,42.626858,-72.87939,-5,1
369,1340,Colrain,MA,42.67337,-72.73104,-5,1
370,1341,Conway,MA,42.508312,-72.70403,-5,1
371,1342,Deerfield,MA,42.54232,-72.6091,-5,1
372,1343,Drury,MA,42.642666,-72.98623,-5,1
373,1344,Erving,MA,42.60705,-72.41396,-5,1
374,1346,Heath,MA,42.669254,-72.80494,-5,1
375,1347,Lake Pleasant,MA,42.556557,-72.518105,-5,1
376,1349,Turners Falls,MA,42.5737,-72.50525,-5,1
377,1350,Monroe Bridge,MA,42.712257,-72.97629,-5,1
378,1351,Montague,MA,42.534977,-72.52522,-5,1
379,1354,Northfield,MA,42.52218,-72.62416,-5,1
380,1355,New Salem,MA,42.4859,-72.33345,-5,1
381,1360,Northfield,MA,42.682285,-72.45649,-5,1
382,1364,Orange,MA,42.599613,-72.29263,-5,1
383,1366,Petersham,MA,42.474716,-72.21226,-5,1
384,1367,Rowe,MA,42.69488,-72.90962,-5,1
385,1368,Royalston,MA,42.671013,-72.16999,-5,1
386,1369,Shattuckville,MA,42.52218,-72.62416,-5,1
387,1370,Shelburne Falls,MA,42.603447,-72.72754,-5,1
388,1373,South Deerfield,MA,42.472733,-72.62452,-5,1
389,1374,Charlemont,MA,42.63646,-72.798744,-5,1
390,1375,Sunderland,MA,42.449978,-72.56302,-5,1
391,1376,Turners Falls,MA,42.609425,-72.54438,-5,1
392,1378,Warwick,MA,42.667152,-72.32729,-5,1
393,1379,Wendell,MA,42.547276,-72.41724,-5,1
394,1380,Wendell Depot,MA,42.594456,-72.36314,-5,1
395,1393,Whately,MA,42.459812,-72.59363,-5,1
396,1420,Fitchburg,MA,42.57869,-71.80338,-5,1
397,1427,Westborough,MA,42.286575,-71.585754,-5,1
398,1430,Ashburnham,MA,42.658768,-71.93287,-5,1
399,1431,Ashby,MA,42.672005,-71.8137,-5,1
